product name,product url,product price,review,number of reviews,ASIN,product description,manufacturer,description
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),https://amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-1,"₹1,299",4.1 out of 5 stars,"51,350",B07CJCGM1M,"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No;Outer Material: Polyester, Color: Black;Water Resistance: Water resistant , not Waterproof;Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters;Number of Wheels: 0, Number of compartments: 3;Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of;Mesh pockets on both sides to accommodate your sipper or bottle and umbrella;Mesh Padding on back & shoulder strap to provide comfort & better back support",,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK)
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-2,₹565,4.3 out of 5 stars,"9,219",B084JGJ8PF,"30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.;Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.;Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.;Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks;1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty;Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.",,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black)
Skybags Brat Black 46 Cms Casual Backpack,https://amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-3,₹669,4.1 out of 5 stars,"3,364",B08Z1HHHTD,"Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,",VIP Industries Ltd,Skybags Brat Black 46 Cms Casual Backpack
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-4,₹499,3.9 out of 5 stars,461,B09TPX22NF,Material: Water Resistant Light-Weight Polyester;Compartments: 2 with padding; Laptop Size: 15.6 inch and below;Dimensions: LxWxH - 12.5 x 7.5 x 19 inches;Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders;Closure Type: Zipper,ADISA,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue)
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",https://amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-5,₹999,,,B07QN4KXWG,"Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.;Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls;Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.;Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.;Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.",AirCase,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather"
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-6,₹356,4.1 out of 5 stars,"7,623",B088XB5XY8,"Made of multi-coated 600D polyester Material ; Water Repellent;Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters;Small Size backpack; Laptop Compatibility: No;This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more;With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books;6 months limited warranty",,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",https://amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-7,₹699,3.9 out of 5 stars,"2,180",B09B29F66W,"HIGH QUALITY FABRIC: Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings.;FRONT POCKET: Our trendy unisex bag pack has a front storage pocket that keeps small items neatly organized and easy to access;MESH POCKET: Our fancy and stylish backpacks have mesh pockets on both sides to accommodate your water bottle and umbrella;COMFORT: Our 26 liter bag has mesh padding on back to help carry heavy items. It also provides superior comfort with padded adjustable shoulder straps;WARRANTY: All of our bags come with 1-year International Warranty against manufacturing defects",Safari Industries,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping"
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,https://amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-8,₹798,4.1 out of 5 stars,911,B098QFF5TJ,Laptop bag fits upto 17.3 inch laptop,Wesley,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-9,₹889,4.3 out of 5 stars,"5,313",B07M9BRCQ5,"MATERIAL - We use Highest Quality of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.;Waterproof - With this unisex duffle bag, you can be rest assured that none of your belongings will be damaged by rain or accidental splashes. The interiors of this water-resistant travel duffle bag remain free from moisture even if you get caught in an unexpected shower.;Dimensions: 47 x 28 x 27 CM. Volume Capacity - 35 Litres. Huge Spacious Compartment;Design - This stylish yet utilitarian textured leatherette duffle bag can be used for corporate travel as well as to take to the gym. The Large Spacious Compartment is suitable for 3-4 days weekender or business trip, can be used as a carry-on flight bag as well.;Warranty - 100% Genuine Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects",Fur Jaden,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,https://amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-10,₹249,3.7 out of 5 stars,"5,921",B019HA8AYG,"Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.;Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH);Number of compartments: 1; Compatible Laptop Size : 15.4;Warranty Type: Manufacturer; 1 Year from the date of purchase;Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper",Gear Merchandise PVT LTD,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-11,₹849,3.9 out of 5 stars,"2,124",B09VCLZ3K4,"SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort;COMFORT WITH QUALITY: This Backpack has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. It also comes with a Rain cover so that you can travel during rainy season without any problem. This backpack be used by everyone be it men? , women? , boys , girls.;SMART & TRENDY LOOKS: This Large rucksack bag is smart, trendy and stylish in looks. The multipurpose rucksack bacpack looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack.;ENDURING & LONG LASTING: This trekking backpack bag is made up of highly durable material, which makes it suitable for all weather conditions including heavy rains and extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself.;Style Name: Casual; Pocket Description: Utility Pocket; Compartment Description: Up To 17 Inches; Age Range Description: Adult;Pattern Name: Solid;OTHER FEATURES: Rain Cover, 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc",Amazing Bags,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover
ADISA Light Weight Laptop Backpack 32 Ltrs,https://amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-12,₹499,4.0 out of 5 stars,"5,545",B07F3X45WZ,"Adjustable Shoulder Handles / Two Bottle holders / Padded Handle / Reflector Logo;Dimensions : LxWxH- 31 x 18 x 47 cms;Laptop : 15.6 inches and below (Bigger than 15.6 not recommended);No. of Compartments : 3 with full padding;NOT INCLUDED : NO RAIN COVER, Laptop, Headphones & Cable (Images only for display)",ADISA,ADISA Light Weight Laptop Backpack 32 Ltrs
ADISA Laptop Backpack 31 Ltrs,https://amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-13,₹499,4.0 out of 5 stars,"8,989",B07G3CG9FC,"Adjustable Shoulder Handles / Two Bottle holders / Padded Top Handle / Reflector Logo;NOT INCLUDED: NO RAINCOVER, Headphone & Cable (Images only for display);Laptop Size : 15.6 inches and below (Bigger than 15.6 inches not recommended);Compartments: 2 with full padding; Front Easy-Access Pocket;Dimensions : L x W x H- 12 x 7 x 18 inches",ADISA,ADISA Laptop Backpack 31 Ltrs
"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-14,₹498,4.3 out of 5 stars,"12,103",B07K8KLB3P,"Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex;Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps;Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks;Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket;Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry",,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-15,₹689,3.9 out of 5 stars,"2,682",B09VTDMRY7,Care Instructions: Wipe with Damp Cloth;Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.;USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.;Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.;Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects;Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester,FUR JADEN,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls"
Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,https://amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-16,₹512,4.1 out of 5 stars,"4,857",B08X2T2M8G,"PREMIUM QUALITY MATERIAL: This laptop computer briefcase is made of high-quality water repellent fabric, and well-made of foam pad inside. The laptop briefcase equipped with a removable shoulder strap and a soft carry handle, you can easily switch the carry way you want.;LIGHTWEIGHT AND MULTIFUNCTIONAL: It provide a removable shoulder strap, can be use as shoulder bag or handbag base on your need; top handle strap, and comes with adjustable strap with. It will be a good partner for your daily use or business trip.;EXCELLENT DETAILS: The laptop bag with exquisite zippers, durable hook of strap and soft handle, which make it more comfortable to carry and use. Ensure a secure and long-lasting usage everyday as office work bag, travel laptop briefcase, business laptop case, college laptop bag.;DIMENSION: External: 16 x 12 x 3 inch; Dimension: 16.5 x 11.5 x 2.5 inch. Suitable for 14-15.6 inch: Dell, Acer, ASUS, Samsung, HP and other brand laptops.(Please allow a little size different because of manual measurement). Great gifts choice for birthday, work anniversary.;BENNETT Warranty: Exchange within (6 months) if you don't like. If any problems, please do not hesitate to contact us. We will provide the best solution for you.",,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty
"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",https://amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1675285028&sprefix=ba%2Caps%2C283&sr=8-11,"₹1,029",3.8 out of 5 stars,628,B09B26MB5M,Lightweight yet durable backpack/daypack for school use or everyday outings;Front storage pocket keeps smaller items neatly organized and easy to access;Mesh pockets on both sides to accommodate your water bottle and umbrella;Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects;Lining Description: Polyester; Closure Type: Zipper; Age Range Description: Adult,Safari Industries,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)"
"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm",https://amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1675285102&sprefix=ba%2Caps%2C283&sr=8-15,"₹1,399",4.1 out of 5 stars,"6,795",B08CMQD4BC,"Medium Purses for Women: 32L x 13B x 30H cm. Short handle height: 25cm, This hobo bag comes with a long removable and adjustable shoulder strap, which can be used as a women shoulder bag or hobo cross-body bag.;Updated Women Handbags: High-quality Vegan leather, Reinforced shoulder strap and improved zipper quality, also improved lining polyester, all faux leather hobo bags have been done anti-shock&wear-resistant tests, good purses and handbags for women.;Package Include: 1 x Hand Bag, 1 x Cross Body Strap;Structure: Ladies hobo handbags has one main compartment,1 middle compartment, 1 zipper pocket and 2 slot pockets, with 1 back zipper pocket, enough capacity to organize your daily items, such as 9.7-inch iPad, book, umbrella, wallet, water bottle, iPhone and cosmetics, etc.;Classic Hobo Purse: Top zipper closure, with 2 side zipper pockets design and elegant tassels decoration, fashionable and practical handbags for women, perfect for shopping, dating, travel and business.;🚩 DISCLAIMER: 🚩 WE HIGHLY RECOMMEND TO CHECK THE PRODUCT SIZE CHART IN 2ND IMAGE BEFORE PURCHASE TO AVOID MISCONCEPTION REGARDING THE PRODUCT SIZE. PRODUCT COLOUR MAY SLIGHTLY VARY DUE TO PHOTOGRAPHIC LIGHTING SOURCES OR YOUR MONITOR SETTINGS.",Panda Exim,"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm"
"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",https://amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1675286941&sprefix=ba%2Caps%2C283&sr=8-17,₹299,4.1 out of 5 stars,"7,623",B088XH1BP7,,,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)"
Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue),https://amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1675286941&sprefix=ba%2Caps%2C283&sr=8-18,₹689,3.9 out of 5 stars,"14,904",B085MHDJ93,,,Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue)
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",https://amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675286941&sprefix=ba%2Caps%2C283&sr=8-19,₹899,3.9 out of 5 stars,675,B09B25Z8M2,"100% Polyester, High Quality, Durable and Water Resistant Fabric;2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook;Front storage pocket keeps smaller items neatly organized and easy to access;Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects;Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight",,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)"
DEIN KLEIDER Men's Nylon Messenger Bag,https://amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1675286941&sprefix=ba%2Caps%2C283&sr=8-21,₹349,4.0 out of 5 stars,"4,395",B084ZHP97M,,,DEIN KLEIDER Men's Nylon Messenger Bag
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),https://amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1675286941&sprefix=ba%2Caps%2C283&sr=8-22,"₹1,188",4.3 out of 5 stars,"4,873",B075MK4TXP,"Outer Material: Polyester, Color: Black;Water Resistance: Water resistant;Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2;Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,;Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks",,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black)
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",https://amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1675286941&sprefix=ba%2Caps%2C283&sr=8-23,₹839,4.2 out of 5 stars,"7,578",B07YDGQQN5,,,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment"
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1675286941&sprefix=ba%2Caps%2C283&sr=8-24,₹498,4.3 out of 5 stars,"12,103",B07PLKV6D1,,,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack
Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07),https://amazon.in/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1675286941&sprefix=ba%2Caps%2C283&sr=8-25,"₹1,887",3.9 out of 5 stars,364,B07N8GRWTZ,"Outer Material: Polyester, Color: Black;Water resistant;Capacity: 21 liters; Dimensions: 32 cms x 14 cms x 46 cms (LxWxH);Number of compartments: 3; Laptop Compatibility: Yes, Laptop Size: 15 inches;Warranty type: Manufacturer; 1 year;Closure Type: Zipper; Age Range Description: Adult",,Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07)
Gear Triumph 26L Water Resistant School Bag//Backpack/College Bag for Men/Women - Navy Blue,https://amazon.in/Gear-Beige-Casual-Backpack-BKPTRMP520522/dp/B00VWM11HQ/ref=sr_1_27?crid=2M096C61O4MLT&keywords=bags&qid=1675286941&sprefix=ba%2Caps%2C283&sr=8-27,₹769,4.2 out of 5 stars,"5,373",B00VWM11HQ,,,Gear Triumph 26L Water Resistant School Bag//Backpack/College Bag for Men/Women - Navy Blue
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,https://amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_28?crid=2M096C61O4MLT&keywords=bags&qid=1675286941&sprefix=ba%2Caps%2C283&sr=8-28,₹899,3.9 out of 5 stars,"8,753",B08YZ8FFBZ,,,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,https://amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1675286941&sprefix=ba%2Caps%2C283&sr=8-29,₹239,4.0 out of 5 stars,"1,983",B07FWQ9HRV,"Strong stitching at major stress points provide long-lasting durability against daily activities;Mesh side water bottle pocket. Adjustable shoulder strap.;Main large compartment with double zip closure. Tough high durability fabric;High quality double zippers, easy to access. Highly water-resistant finish to save inner items from water splashes;Comes in attractive color combinations.",,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel
F Gear Raider 30 Liter Backpack with Rain Cover (.Marpat Navy Digital Camo),https://amazon.in/F-Gear-Raider-Marpat-Navy-Backpack/dp/B07F1157TV/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1675286941&sprefix=ba%2Caps%2C283&sr=8-30,₹822,4.2 out of 5 stars,"2,869",B07F1157TV,Water Proof with attached Rain cover.;Air Mesh Padding at the Back panel and shoulder straps for utmost Comfort.;Three big compartments and one bottle holder;Dimensions (LxHxW) CM: 33 x 48 x 21 cm;Comes with the F Gear promise of Quality,,F Gear Raider 30 Liter Backpack with Rain Cover (.Marpat Navy Digital Camo)
Tabelito® Laptop Bag For Men and women Briefcase 15.6 Inch (39.6 cm) Messenger Side Shoulder Travel bags for mens Water Resistant gifts office bag for men,https://amazon.in/Tabelito-Office-Laptop-Briefcase-Women/dp/B08FKXCJNQ/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1675286941&sprefix=ba%2Caps%2C283&sr=8-32,₹549,4.0 out of 5 stars,"2,370",B08FKXCJNQ,,,Tabelito® Laptop Bag For Men and women Briefcase 15.6 Inch (39.6 cm) Messenger Side Shoulder Travel bags for mens Water Resistant gifts office bag for men
