product name,product url,product price,review,number of reviews,ASIN,product description,manufacturer,description
Isle Locada by Hidesign Women's SLING BAG(AUBERGINE/AUBERG),https://amazon.in/Isle-Locada-Hidesign-Womens-Purple/dp/B07T97R1H1/ref=sr_1_106?crid=2M096C61O4MLT&keywords=bags&qid=1675289620&sprefix=ba%2Caps%2C283&sr=8-106,"₹1,599",4.5 out of 5 stars,341,B07T97R1H1,,,Isle Locada by Hidesign Women's SLING BAG(AUBERGINE/AUBERG)
"Safari Seek 32 Ltrs Overnighter Travel Laptop Backpack (Blue), Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure",https://amazon.in/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JM98M1/ref=sr_1_109?crid=2M096C61O4MLT&keywords=bags&qid=1675289620&sprefix=ba%2Caps%2C283&sr=8-109,"₹2,059",4.3 out of 5 stars,51,B097JM98M1,,,"Safari Seek 32 Ltrs Overnighter Travel Laptop Backpack (Blue), Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure"
"Veneer Medium 20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag",https://amazon.in/Veneer-Backpack-Fashion-Leather-College/dp/B09BMG8R6Y/ref=sr_1_161?crid=2M096C61O4MLT&keywords=bags&qid=1675289707&sprefix=ba%2Caps%2C283&sr=8-161,₹899,4.2 out of 5 stars,810,B09BMG8R6Y,,,"Veneer Medium 20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag"
"House of Quirk Electronics Accessories Organizer Bag, Universal Carry Travel Gadget Bag for Cables, Plug and More, Perfect Size Fits for Pad Phone Charger Hard Disk - Dark Blue",https://amazon.in/House-Quirk-Electronics-Accessories-Organizer/dp/B07MMGBD1J/ref=sr_1_163?crid=2M096C61O4MLT&keywords=bags&qid=1675289707&sprefix=ba%2Caps%2C283&sr=8-163,₹499,4.3 out of 5 stars,"6,462",B07MMGBD1J,"Spacious Storage Spaces - The multi-layer design gives this electronic travel bag more storage space. It can fit your tablet computer, power bank, mobile phone charger, cable, laptop adapter and etc. It comes with 10 buckles, it will disconnect cables and find them easily.;Easy to Adjusted and Carry - The padded dividers of this travel cable organizer case are adjustable. You can adjust them for your needs. It is a great electronics accessories organizer bag or computer cable organizer bag. It is perfect for home use or travel.;Shockproof & Waterproof - This organizer bag is made of dual layer waterproof fabric and shockproof material. All items in this bag are well protected. The high quality zippers are strong and durable.;Keep everything in one place - This travel electronics organizer bag helps you keep all your electronics accessories and various cables together. Size: 24.5 cm x 18.5 cm x 10 cm, ideal size fits easily in your luggage.;Perfect Gift - This electronics organizer is a perfect gift for men and women to use as travel kit.",,"House of Quirk Electronics Accessories Organizer Bag, Universal Carry Travel Gadget Bag for Cables, Plug and More, Perfect Size Fits for Pad Phone Charger Hard Disk - Dark Blue"
"Storite PU Leather 14 inch Laptop Messenger Organizer Bag/Shoulder Sling Office Bag for Men & Women – (37x 27x7 cm,Light Brown)",https://amazon.in/Storite-Leather-Laptop-Bag-inch/dp/B081GQJLD2/ref=sr_1_165?crid=2M096C61O4MLT&keywords=bags&qid=1675289707&sprefix=ba%2Caps%2C283&sr=8-165,"₹1,059",4.0 out of 5 stars,"1,531",B081GQJLD2,"Material: Pu Leather , Color : Light Brown , Dimensions: 37x 27x7 cm, To analyse the size accurately, kindly read the dimension and check with any scale available to you before placing order.;Elegant look and high quality PU leather Ultra-soft felt, Long Lasting durable fabric With Zipper Closure and handle.; Compartments : 1 main zipper compartment & 1 inner compartment &1 inner Laptop compartment.;The messenger bag features a wide shoulder strap that eliminates shoulder fatigue. The bag can be carried by the handle, worn on shoulders, and positioned across body.;This computer bag fits laptops to 14 inches. Ideal for Professionals/Office going Men & Women. Slim, compact in size suitable for carrying business as well as day to day items like tablet, laptop, charger, phone, battery bank, pen, diary, visiting cards, keys etc.; Outer Material Type: Faux Leather; Inner Material Type: Polyester Fabric;Style Name: Shoulder Bag",,"Storite PU Leather 14 inch Laptop Messenger Organizer Bag/Shoulder Sling Office Bag for Men & Women – (37x 27x7 cm,Light Brown)"
Lavie Women's Nova Tote Bag | Ladies Purse Handbag,https://amazon.in/Lavie-Spring-Summer-Womens-Tote/dp/B083ZT1LHB/ref=sr_1_166?crid=2M096C61O4MLT&keywords=bags&qid=1675289707&sprefix=ba%2Caps%2C283&sr=8-166,₹829,4.2 out of 5 stars,"7,317",B083ZT1LHB,,,Lavie Women's Nova Tote Bag | Ladies Purse Handbag
"VOKAN Laptop Backpack bag men With USB Charging Port, Water Resistant 30L (Red)",https://amazon.in/VOKAN-Laptop-Backpack-Charging-Resistant/dp/B0BQJLHLXZ/ref=sr_1_167?crid=2M096C61O4MLT&keywords=bags&qid=1675289707&sprefix=ba%2Caps%2C283&sr=8-167,₹699,5.0 out of 5 stars,1,B0BQJLHLXZ,,,"VOKAN Laptop Backpack bag men With USB Charging Port, Water Resistant 30L (Red)"
"Genie Clara Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",https://amazon.in/Genie-Clara-Backpack-Women-compartments/dp/B097JJGR1N/ref=sr_1_168?crid=2M096C61O4MLT&keywords=bags&qid=1675289707&sprefix=ba%2Caps%2C283&sr=8-168,"₹1,025",4.2 out of 5 stars,28,B097JJGR1N,,,"Genie Clara Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose."
"Hang It Gym Bag Combo for Men ll Gym Bag with Shoe Compartment and , Black Bottle, Black Wristband, Black Gloves ll Gym kit for Men and Women ll Gym Bag & Fitness Kit & Gym Bag Combo (Black)",https://amazon.in/Compartment-Black-Bottle-Wristband-Fitness/dp/B0BPNZV6F6/ref=sr_1_169?crid=2M096C61O4MLT&keywords=bags&qid=1675289707&sprefix=ba%2Caps%2C283&sr=8-169,₹599,5.0 out of 5 stars,1,B0BPNZV6F6,,,"Hang It Gym Bag Combo for Men ll Gym Bag with Shoe Compartment and , Black Bottle, Black Wristband, Black Gloves ll Gym kit for Men and Women ll Gym Bag & Fitness Kit & Gym Bag Combo (Black)"
wooum 15.6 Inch Water Resistance Laptop Messenger Bag/Laptop Briefcase/Laptop Sling bag/Laptop Side Bag for Men and Women (Dark Grey),https://amazon.in/Wooum-Resistance-Laptop-Messenger-Briefcase/dp/B09BW4D31Z/ref=sr_1_170?crid=2M096C61O4MLT&keywords=bags&qid=1675289707&sprefix=ba%2Caps%2C283&sr=8-170,₹597.55,4.1 out of 5 stars,403,B09BW4D31Z,"This Messenger + Briefcase comes with a total number of 3 Zip Compartments from Which 1 Main Compartment is for 15.6-inch laptop and front compartment for your tablet and other electronic gadget accessories like the laptop charger.;This bag is specially Design to protect 15.6 inch Laptop and Notebook , Ultrabook.; Padded Laptop Compartment: Business briefcase features a well cushion inner laptop sleeve with velcro strap to separate and secure your computer/tablet.;High Quality material used for long lasting life , Made of durable water-resistant exterior fabric as well as protective soft padded interior;Well-organized: The main compartment features a laptop slot and a tablet slot for up to 11"" iPad Pro with smart case & keyboard.;Department Name: Unisex-Adult; Outer Material Type: Polyurethane; Inner Material Type: Canvas",,wooum 15.6 Inch Water Resistance Laptop Messenger Bag/Laptop Briefcase/Laptop Sling bag/Laptop Side Bag for Men and Women (Dark Grey)
